"Rating","Review Title","Review","Customer Name","Date","Review ID"
"4","Works well","The product works fine, it is maybe a little e...","fady","b110-Oct-21","#765"
"3","good enough","NaN","mohamed","b105-Oct-21","NaN"
"5","Everyone should buy this","You should buy this.","mariam","NaN","NaN"
"5","Amazing product","Love everything about this product, it works","mina","5th October","NaN"
"1","this is terrible","The product never worked for me.","ahmed","44,491.00","#18563"
"2","Doesn't work","This doesn't work as advertised.","yasmin","NaN","NaN"
"4","cool product","This worked well for me, Not 5 stars become use","sandy","b115-Sep-21","#84162"
"5","BEST THING EVER","Go and buy this right now, It's amazing.","sarwat","NAN","NAN"
"5","Amazing product","Love everything about this product, it works","mariam","5/10/2021","#5675"
"5","Love this!","I would 100% recommend this to everone.","clara","NaN","NaN"
"100","Hate this","this doesn't do anything for me.","hoda","b115-Sep-21","Nay"
"3","OK product","It does what it has to do, but the user","emma","NAN","#47553"
